state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
minnesota,-6.66309490230402e-5,-2.52863431343031e-4,2.57960573877682e-5,-6.66309490230402,-25.2863431343031,2.57960573877682,Female
mississippi,5.99590040793719e-4,1.18030775701955e-4,0.00128728796954845,59.9590040793719,11.8030775701955,128.728796954845,Female
missouri,2.56033555996041e-4,4.07833269529084e-5,6.16322095644184e-4,25.6033555996041,4.07833269529084,61.632209564418396,Female
montana,-5.55640315507846e-5,-2.39251840746447e-4,4.03330804078154e-5,-5.55640315507846,-23.9251840746447,4.03330804078154,Female
nevada,5.77428671019717e-5,1.35191906024212e-8,1.8803326794935e-4,5.77428671019717,0.0013519190602421201,18.803326794935,Female
new hampshire,5.53784305131877e-5,-8.46273840671658e-5,3.0439354095907e-4,5.53784305131877,-8.46273840671658,30.439354095907,Female
new jersey,2.20250080876216e-4,3.44763488920507e-5,5.62079183971013e-4,22.0250080876216,3.44763488920507,56.207918397101295,Female
new mexico,4.04700745154856e-5,-2.94154924868909e-5,1.62464356621651e-4,4.04700745154856,-2.94154924868909,16.246435662165098,Female
new york,4.03684266752537e-4,7.61428234695784e-5,8.93935779869733e-4,40.3684266752537,7.6142823469578405,89.3935779869733,Female
north carolina,3.3370879720262e-4,6.22028107033664e-5,7.15829249826552e-4,33.370879720261996,6.2202810703366405,71.5829249826552,Female
north dakota,-5.4230768582767e-5,-2.57080153963662e-4,7.50345181364034e-5,-5.4230768582766995,-25.7080153963662,7.50345181364034,Female
ohio,3.55192343283387e-4,6.59376689245905e-5,7.80647311847487e-4,35.5192343283387,6.59376689245905,78.06473118474871,Female
oklahoma,1.32375141306315e-4,8.64514258744955e-6,3.80574517397923e-4,13.2375141306315,0.8645142587449549,38.0574517397923,Female
oregon,-3.3720936882647e-4,-9.46333145574038e-4,-2.89346474833335e-5,-33.720936882647,-94.6333145574038,-2.89346474833335,Female
pennsylvania,1.3337020617565e-4,7.82303528697529e-7,4.14835926991859e-4,13.337020617564999,0.0782303528697529,41.4835926991859,Female
rhode island,2.09915872613152e-4,2.85802110987318e-5,6.13407825770951e-4,20.9915872613152,2.8580211098731803,61.340782577095105,Female
south carolina,4.67240572967521e-4,9.45909825303636e-5,0.00105274007609262,46.7240572967521,9.45909825303636,105.274007609262,Female
south dakota,-1.49091313199159e-5,-1.84936833963162e-4,1.28356435983686e-4,-1.49091313199159,-18.4936833963162,12.835643598368598,Female
tennessee,3.36202650047104e-4,-2.03492887644249e-5,0.00101496427304236,33.6202650047104,-2.03492887644249,101.496427304236,Female
texas,7.40856646782234e-4,1.48741920712281e-4,0.00151436776886795,74.0856646782234,14.8741920712281,151.436776886795,Female
utah,1.08853993856438e-4,1.80980592502711e-5,2.81578050751985e-4,10.8853993856438,1.8098059250271101,28.157805075198503,Female
