state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
tennessee,3.30629593984814e-4,-1.67616800027926e-5,0.00103375500554699,33.062959398481404,-1.67616800027926,103.375500554699,Female
texas,7.40381762648042e-4,1.38711212524292e-4,0.00153134935114925,74.03817626480419,13.8711212524292,153.134935114925,Female
utah,1.09976604105635e-4,1.86486048342615e-5,2.76544144117278e-4,10.9976604105635,1.86486048342615,27.6544144117278,Female
vermont,7.06850457831125e-5,-1.02236391762198e-4,3.49057929670208e-4,7.0685045783112495,-10.2236391762198,34.9057929670208,Female
washington,-1.2404168831578e-4,-4.4686705277091e-4,3.51079157286709e-5,-12.404168831578,-44.686705277091,3.51079157286709,Female
wisconsin,2.59785712625547e-4,4.78133730013409e-5,5.90511170166985e-4,25.978571262554702,4.78133730013409,59.051117016698505,Female
wyoming,-5.09343700180183e-5,-2.71685978880807e-4,7.7805154386252e-5,-5.09343700180183,-27.1685978880807,7.7805154386252,Female
iowa,3.31415009831015e-4,6.43729314742918e-5,7.02612047366851e-4,33.1415009831015,6.4372931474291795,70.2612047366851,Female
massachusetts,4.35688351870839e-4,8.2245509150339e-5,9.7524283731908e-4,43.5688351870839,8.2245509150339,97.524283731908,Female
north dakota,-5.39346288048597e-5,-2.70032064118158e-4,7.25741090506067e-5,-5.39346288048597,-27.0032064118158,7.257410905060671,Female
idaho,1.09382404929668e-4,2.4064433704069e-6,3.40023689915442e-4,10.938240492966798,0.24064433704069002,34.0023689915442,Female
virginia,3.48199336085094e-4,6.82570986591238e-5,7.84053367471131e-4,34.8199336085094,6.825709865912381,78.40533674711311,Female
minnesota,-6.81844016987718e-5,-2.42180656392333e-4,2.15032788211716e-5,-6.818440169877181,-24.2180656392333,2.15032788211716,Female
south dakota,-1.31448462670371e-5,-1.85675639396104e-4,1.29127714403572e-4,-1.31448462670371,-18.567563939610398,12.9127714403572,Female
state_sum,0.00848289740638843,-0.00182197082404517,0.0227237031115241,848.289740638843,-182.197082404517,2272.37031115241,Female
alabama,5.68698246041166e-4,1.05901290529853e-4,0.00122156663801123,56.8698246041166,10.590129052985299,122.15666380112302,Male
california,1.749869124024e-4,3.02384257275651e-5,4.05484414926436e-4,17.49869124024,3.02384257275651,40.5484414926436,Male
connecticut,3.76613066474341e-4,6.14861418493362e-5,9.25581154924908e-4,37.661306647434095,6.148614184933621,92.5581154924908,Male
maryland,2.03258683986187e-4,1.07034823614252e-5,6.07398639276706e-4,20.3258683986187,1.07034823614252,60.7398639276706,Male
georgia,8.19176077370851e-4,1.45980780280888e-4,0.00170155469465729,81.91760773708509,14.5980780280888,170.155469465729,Male
illinois,3.66234263269996e-4,6.65391006401288e-5,8.45263270606687e-4,36.6234263269996,6.653910064012879,84.52632706066869,Male
