state,strata,pop_at_risk,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
north carolina,black,629687,4.840678002978285,0.5736152916373429,30.071428571428573,0.0095,4e-4,0.0095,0.004
north dakota,white,131876,-0.718660945854715,0.7665008905414159,38,0.0095,4e-4,0.0095,0.004
north dakota,black,4857,-0.718660945854715,0.7665008905414159,38,0.0095,4e-4,0.0095,0.004
ohio,white,2256132,4.487444605592271,0.6712301432237828,34.7,0.0095,4e-4,0.0095,0.004
ohio,black,499682,4.487444605592271,0.6712301432237828,34.7,0.0095,4e-4,0.0095,0.004
oklahoma,white,708668,1.5967475445049761,0.6832444024849943,38.5,0.0095,4e-4,0.0095,0.004
oklahoma,black,113850,1.5967475445049761,0.6832444024849943,38.5,0.0095,4e-4,0.0095,0.004
oregon,white,784065,-2.307054093695364,0.8829536735269498,66,0.0095,4e-4,0.0095,0.004
oregon,black,39240,-2.307054093695364,0.8829536735269498,66,0.0095,4e-4,0.0095,0.004
pennsylvania,white,2280234,3.0428047621702374,1.4190406756386476,21,0.0095,4e-4,0.0095,0.004
pennsylvania,black,481184,3.0428047621702374,1.4190406756386476,21,0.0095,4e-4,0.0095,0.004
rhode island,white,189456,9.441467473122215,3.131711620208615,11,0.0095,4e-4,0.0095,0.004
rhode island,black,30390,9.441467473122215,3.131711620208615,11,0.0095,4e-4,0.0095,0.004
south carolina,white,699045,9.327528142653765,1.2439463381432188,23,0.0095,4e-4,0.0095,0.004
south carolina,black,381983,9.327528142653765,1.2439463381432188,23,0.0095,4e-4,0.0095,0.004
south dakota,white,167361,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.0095,4e-4,0.0095,0.004
south dakota,black,7017,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.0095,4e-4,0.0095,0.004
tennessee,white,1153944,4.68384975022509,2.4304900946000103,34,0.0095,4e-4,0.0095,0.004
tennessee,black,339708,4.68384975022509,2.4304900946000103,34,0.0095,4e-4,0.0095,0.004
texas,white,5615726,8.28196927028711,0.43850714056189105,39.774193548387096,0.0095,4e-4,0.0095,0.004
texas,black,996733,8.28196927028711,0.43850714056189105,39.774193548387096,0.0095,4e-4,0.0095,0.004
utah,white,818305,1.7515251966871814,0.46796759517952496,28.363636363636363,0.0095,4e-4,0.0095,0.004
utah,black,22315,1.7515251966871814,0.46796759517952496,28.363636363636363,0.0095,4e-4,0.0095,0.004
vermont,white,124296,1.554207848288739,1.6832133021522477,23.5,0.0095,4e-4,0.0095,0.004
vermont,black,4122,1.554207848288739,1.6832133021522477,23.5,0.0095,4e-4,0.0095,0.004
virginia,white,1315378,8.115727586591744,0.9121610391909646,19.571428571428573,0.0095,4e-4,0.0095,0.004
virginia,black,468948,8.115727586591744,0.9121610391909646,19.571428571428573,0.0095,4e-4,0.0095,0.004
washington,white,1340980,-1.4450958974156776,0.9305305755491331,40.8,0.0095,4e-4,0.0095,0.004
washington,black,122126,-1.4450958974156776,0.9305305755491331,40.8,0.0095,4e-4,0.0095,0.004
west virginia,white,369047,NA,NA,NA,0.0095,4e-4,0.0095,0.004
west virginia,black,24373,NA,NA,NA,0.0095,4e-4,0.0095,0.004
wisconsin,white,1150101,3.243078926509611,0.5635039627903868,35.5,0.0095,4e-4,0.0095,0.004
wisconsin,black,153657,3.243078926509611,0.5635039627903868,35.5,0.0095,4e-4,0.0095,0.004
wyoming,white,127751,-1.2179716558722333,1.3851694294986299,21,0.0095,4e-4,0.0095,0.004
wyoming,black,3016,-1.2179716558722333,1.3851694294986299,21,0.0095,4e-4,0.0095,0.004
alabama,hispanic,70225,6.168036540793379,0.855377499605896,32.42857142857143,0.0095,4e-4,0.0095,0.004
arizona,hispanic,728848,NA,NA,NA,0.0095,4e-4,0.0095,0.004
arkansas,hispanic,77691,5.5074680381129,1.7077936122330986,29.5,0.0095,4e-4,0.0095,0.004
california,hispanic,4955185,2.494174546876336,0.4425310416487048,24.78787878787879,0.0095,4e-4,0.0095,0.004
colorado,hispanic,394034,3.0958620869655618,1.0080965706046623,17.666666666666668,0.0095,4e-4,0.0095,0.004
connecticut,hispanic,168747,7.530114222888063,1.5850624242069442,18.4,0.0095,4e-4,0.0095,0.004
delaware,hispanic,28624,NA,NA,NA,0.0095,4e-4,0.0095,0.004
florida,hispanic,1138981,14.603116124837058,0.48895033783058345,26.5,0.0095,4e-4,0.0095,0.004
georgia,hispanic,327695,8.394070379725413,0.643853992356035,34.36363636363637,0.0095,4e-4,0.0095,0.004
idaho,hispanic,76414,2.8246969056976874,1.3134345461504757,18.5,0.0095,4e-4,0.0095,0.004
illinois,hispanic,744200,3.077782143682389,0.6335156637882573,42.111111111111114,0.0095,4e-4,0.0095,0.004
indiana,hispanic,161381,6.402586608509475,1.4603050061487217,17.8,0.0095,4e-4,0.0095,0.004
iowa,hispanic,66258,3.283443042393354,0.4158930464722037,44.07142857142857,0.0095,4e-4,0.0095,0.004
kansas,hispanic,128723,-0.9269572611440776,1.2420225405971406,46,0.0095,4e-4,0.0095,0.004
kentucky,hispanic,52847,4.03911989119097,0.5397091539639758,27.823529411764707,0.0095,4e-4,0.0095,0.004
louisiana,hispanic,57912,10.90478106983647,0.894491663404189,31.7,0.0095,4e-4,0.0095,0.004
maine,hispanic,7114,4.690142121423655,1.4355742837081207,22.333333333333332,0.0095,4e-4,0.0095,0.004
maryland,hispanic,158576,4.3197604984360645,1.8288996169773302,17.666666666666668,0.0095,4e-4,0.0095,0.004
massachusetts,hispanic,223309,7.4387867604117215,1.0339974576719628,26.375,0.0095,4e-4,0.0095,0.004
michigan,hispanic,184899,2.707859151784442,0.9364894444155839,19.555555555555557,0.0095,4e-4,0.0095,0.004
minnesota,hispanic,109334,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
mississippi,hispanic,28069,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
missouri,hispanic,86347,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
montana,hispanic,12437,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
nebraska,hispanic,72226,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nevada,hispanic,274567,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
new hampshire,hispanic,14770,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new jersey,hispanic,481296,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new mexico,hispanic,311408,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new york,hispanic,1024120,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
