state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
california,male,375535.5551204728,15411.3066188421,2.494174546876336,0.4425310416487048,24.78787878787879,0.118,0.013,0.0095,0.004
connecticut,male,47594.21238024715,1964.1430662357607,7.530114222888063,1.5850624242069442,18.4,0.118,0.013,0.0095,0.004
maryland,male,8933.094361197074,552.0595094489256,4.3197604984360645,1.8288996169773302,17.666666666666668,0.118,0.013,0.0095,0.004
georgia,male,142879.18131397726,6405.617904205718,8.394070379725413,0.643853992356035,34.36363636363637,0.118,0.013,0.0095,0.004
illinois,male,158391.87602097378,9750.613860548745,3.077782143682389,0.6335156637882573,42.111111111111114,0.118,0.013,0.0095,0.004
indiana,male,74486.96012231304,3396.877186308801,6.402586608509475,1.4603050061487217,17.8,0.118,0.013,0.0095,0.004
kansas,male,33697.66583258853,1092.0289721619927,-0.9269572611440776,1.2420225405971406,46,0.118,0.013,0.0095,0.004
kentucky,male,57991.22373047521,3205.5159473405324,4.03911989119097,0.5397091539639758,27.823529411764707,0.118,0.013,0.0095,0.004
louisiana,male,52141.96227503036,3428.1509356586143,10.90478106983647,0.894491663404189,31.7,0.118,0.013,0.0095,0.004
maryland,male,74649.0987694621,2722.1191868860633,4.3197604984360645,1.8288996169773302,17.666666666666668,0.118,0.013,0.0095,0.004
maine,male,14109.118309643969,745.2513719632069,4.690142121423655,1.4355742837081207,22.333333333333332,0.118,0.013,0.0095,0.004
michigan,male,128530.50028216644,4527.28012042727,2.707859151784442,0.9364894444155839,19.555555555555557,0.118,0.013,0.0095,0.004
missouri,male,73263.53429674252,4191.682718221526,4.381615478641194,1.0447475508989015,26.666666666666668,0.118,0.013,0.0095,0.004
mississippi,male,43771.978075702136,1768.5798075036878,8.811740792233623,0.8218515652930607,30.5,0.118,0.013,0.0095,0.004
montana,male,8166.206966821751,402.30195962780425,-1.3035954384973885,1.0421519238620696,21.5,0.118,0.013,0.0095,0.004
north carolina,male,135337,20929.591836734693,4.840678002978285,0.5736152916373429,30.071428571428573,0.118,0.013,0.0095,0.004
nebraska,male,16213.58983660871,750.45331805873,NA,NA,NA,0.118,0.013,0.0095,0.004
new hampshire,male,15277.710736577703,781.190702481325,2.237445716467837,2.541148106038089,13,0.118,0.013,0.0095,0.004
new jersey,male,105142.63009327032,3223.3818902567787,4.30348065040259,1.2391849341743608,23.4,0.118,0.013,0.0095,0.004
new mexico,male,24819.017658455887,1005.5319656516865,0.6665321870912665,0.5388803058273527,30,0.118,0.013,0.0095,0.004
nevada,male,23651.55732868857,1735.3812137141713,1.871937419137972,0.8917961588037685,14.833333333333334,0.118,0.013,0.0095,0.004
new york,male,231170.89964104746,12209.785132016556,7.4138704827253585,0.9932147514156776,24.555555555555557,0.118,0.013,0.0095,0.004
ohio,male,120862.56881049859,5410.8630064352,4.487444605592271,0.6712301432237828,34.7,0.118,0.013,0.0095,0.004
oklahoma,male,50720.792907611496,2022.5357229975148,1.5967475445049761,0.6832444024849943,38.5,0.118,0.013,0.0095,0.004
oregon,male,35228.727603463965,1807.0496904922556,-2.307054093695364,0.8829536735269498,66,0.118,0.013,0.0095,0.004
pennsylvania,male,161730.66458171298,5663.493065585447,3.0428047621702374,1.4190406756386476,21,0.118,0.013,0.0095,0.004
rhode island,male,14290.114021044872,667.6141501518462,9.441467473122215,3.131711620208615,11,0.118,0.013,0.0095,0.004
tennessee,male,67314.40595893897,6879.886004939376,4.68384975022509,2.4304900946000103,34,0.118,0.013,0.0095,0.004
